,Dates,Ratings,Titles,Bodys
70,2022-03-06,4,Good,Good
71,2019-03-02,5,The best in Class,"I had bought the washing Machine about a Month back and was waiting for sometime before I write a review.Pros.1. The best one within the budget on a front load2. the clothes gets washed much better and probably slightly faster than my old Top Load machine3. Less water usage compared to top load4. various setting available to start the wash cycle only after a few hours so that everything gets washed on time when you get back from office5. the 1200rpm spin speed gives the clothes enough dryness so that even keeping for a couple of hours on the cloth stand would get everything dry almost including the Jeans6. Online extended warranty available from BSH through AmazonCons,1. When running at 1200 rpm modes the machine gets heated up2. Quite heavy in case if you plan to shift to any other places within the flat"
72,2022-07-06,5,BEST OF BEST WASHING MACHINE,VERY GOOD WASHING MACHINE. EVERY ONE BUY THIS WASHING MACHINE.
73,2020-12-03,5,It's a Bosch!,"I don't think any other brand sells its product citing it's brand recall like Bosch does.This purchase was primarily because It's a Bosch: My decision to go for another brand with washer dryer with higher rpm etc was nixed with, 'Why not Bosch?' Thanks also to the festival pricing.The delivery and  installation happened smoothly.Silent; time saving; quicker to dry; and consumes less electricity (reflects in the bill); easy user interface... and it's a Bosch.The previous washing machine (IFB) continues to work for more than 15 years.Hope this one also works for a long time to come.Hope to upgrade in 2035."
74,2022-07-22,5,VFM product,works as expected
75,2017-10-24,5,The story behind buying a Bosch,"It's been about a month since we got this fine piece of German engineering - Bosch's Series 4 washing machine (WAK24168IN) - with some good discount on Amazon and a generous exchange offer for our 10-year old Samsung Fuzzy logic.Just a month isn't really reasonable time to say it's super quiet, economical with detergent and superior in wash quality, because these appliances must able to continue doing all those for half-a-decade. I hope it continues to. But for now, what matters the most is the missus is clearly impressed :). I've seen an IFB and a Samsung (front loaders) irritating their owners on a regular basis. 'IFB now has new technology which eliminates all such glitches' So I am told by the salesmen in Hyderabad's showrooms who stock near identical models with just one tiny change in the last letter of the model number (which could just mean they're sold via brick and mortar). I hear 'they are in damage control mode now' ;). Despite all their convincing...I tell myself, 'not until I hear improvement from another user'. Finally, Bosch it was and via Amazon.Of course, the installation peeps stretched our patience to the limits before sending an engineer, who installed the thing well. Btw, the extended warranty at 4k+ didn't fit our logic but we did spend an additional 4k for a Bosch cover and sturdy stand.That's the story for now folks. Hope you find it helpful."
76,2020-06-23,5,You deserve it!,"What else to say about a product that gives you its very best each time you do your laundry? It's a quiet performer you can blindly buy. It is easy to operate and it keeps families happy! The maintenance may be a little more expensive than competitors, but can competitors ever match Bosch? Before, Bosch we had an American brand which we didn't use much as it used to tear up our clothes. We bought our Bosch after a friend had recommended it. That guy had bought a second Bosch after the body of his first Bosch had completely rusted away. After having  our complete satisfaction with Bosch, the one bought from Amazon was for my in-laws. They are happy too."
77,2020-12-02,4,Good and sturdy....nice wash and dry at 1200 rpm...got for 22k during sale in oct 2020...,Got it for around 22k during sale...delivery by amazon and installation by the bosch is good..but he charged me for an adapter. quality of wash is good...sturdy and heavy weight...no vibrations even on stand....but am not happy with the noise (others review mentioned it is calm  which is not at all)..as per my expectations noise level should be more less
78,2021-07-02,4,It’s compact & neat in appearance,This machine lets you know the weight of the clothes that are added. This machine vibrates more on spin mode than the earlier BEKO brand that I was using. All other features are good as built in
79,2022-01-30,4,Good,Product is very good
80,2019-10-26,4,"Product is good, but Amazon delivery needs little improvement","Overall the product is good. I have been using bosch washing machines since last 8 years. I got good exchange value to my old one. There is some software issue, which  result the timer displays weird.Another issue is delivery with Amazon, two lean and small guys came to delivery this huge item. They could not lift properly, I have put lot of efforts (one side me and other side both of them) to lift the product to first floor. I request Amazon people should sent at least 3 people whenever they used to send this kind of heavy weight items"
81,2020-11-02,5,"Superb built quality,  amazing performance!!!","This machine is superb. I have bought this product during 2019 Amazon Great Indian Festival sale. It is quite heavy, not easy for a even 2 guys to deliver it on 2nd floor. I have been using this to and fro. The experience is amazing. Very less noise, washes cloth perfectly, not facing a single problem till now, receive calls from Bosch expert on quarterly basis for servicing.The only cons is 7kg is not suitable if you are having more than 2-3 members in family. I am happy to buy it from amazon. Loving it"
82,2020-09-11,5,Bosch 7kg review after one month  usage,After one month usage posting this review. BOSCH washing machine 7kg fully automatic. Really you can go with this model even if the family members of 3 also it suits. It does its job well. Quality of washing is good. We often use 'Speed Perfect' Mix load often. Other options take so much time for washing. In speed perfect mode take Appropriately 50mins - 1hr. Water consumption also very less compare to top load. Spinning sound also very less since it has silence filter to reduce the noise level. You can see my video spinning @ 1000 Rpm. Cloth also almost dry 90%. Better to use good detergent powder or liquid for more better result.
83,2015-06-19,4,The washing machine is really good for the price,"The washing machine is really good for the price. Excellent price from amazon.Pros:1 Extremely silent and hardly any vibration.2 seems like it uses very less water and electricity.3 clothes come out very clean but have to see if the wash damages them on the long run.4 we are a family of 3 but get lot of laundry, so this should be good for family of 4 too.Cons:1 Needs the water supply to have some certain pressure meaning your water tank has to be at 16 to 18 feet above the top of your washing machine. This is what the BOSCH service guy told, not sure how true it is. But this caused a huge confusion in my house as i wanted to keep the washing machine in first floor but BOSCH service guy told it was not possible and I had to move it to the ground floor, many people might not have this as a choice, so be careful before you buy it. Further no details of this is given any where."
84,2022-01-06,5,Cleaning is better than LG front load 5.5 kg model,"The options are adequate and cleaning is good so far , especially since we have had hard water and scaling problem.LG washing machine got corroded. Installation was good too. No hassles. Machine is pretty silent .. compared to previous model I had."
85,2020-09-17,5,A washing machine worth for money but bad delivery,"Overall washing machine is very nice👍👍But one thing I disliked was it is very heavy for shifting,felt like need of wheels so that it can be moved easily and a fixed locking system when used during the time of washing.😃😃And delivery man also didn't do the door step delivery..he just left the washing machine in the ground floor even after requesting. Installation was done on the next day of the delivery and the staff was polite and professional. He really helped in placing the washing machine in right place. Only problem was with the Amazon delivery guy..rest everything is good"
86,2020-12-24,4,Satisfied with product except the way of delivery by Amazon,Satisfied with the product in all aspects. Problem with the delivery by Amazon. Packing was damaged during delivery when questioned about that condition of packing the delivery man just left the product at my door step and he left. Same compliant was raised immediately to amazon . Till now no results from them.
87,2020-10-20,4,Bosch 7kg washing machine model no WAJ2426SIN,"I think iam the first one to review this model no WAJ2426SIN Bosch 7kg washing Machine.order 16th oct delivery 17th oct instalation done in 18th oct fastest delivery by Amazon thanks for that,last two days iam using this machin really very very silent while spinning and wash next 10days I will share more about this machine"
88,2021-11-21,4,I love my favorite brand bosch,"My wife full happy, using bosch washing machine, I love Amazon service"
89,2017-01-22,5,I have done my research on many fully automatic front load machine n found this is the best one. If you are thinking of buying t,I bought this product in October during dewali sell. I have done my research on many fully automatic front load machine n found this is the best one. If you are thinking of buying then go for it. After my mom saw this beautiful machine now she wants the same one.Pros :Washing quality is very good removes stains from white shirt like anythingConsumes less water n detergentVery stylish lookPowerful but consumes less electricityHeavy and durable no vibrationLiterally no soundGood programs for washing and it actually works goodTime savingEasy to useCan b used using extension plugConsVery heavy to move need to fix at a placeNeeds water pressureNeed 15amp socket to power upI am writing this review after 3 months of usage. This is a good washing machine and Amazon delivery is as always 5 star . Bosch customer care is not good they came to install the machine after 3 4 calls . Don't buy stuff from them they as usual tell some story to make you buy things from them. Installation is pretty easy. It was my 1st automatic machine so bit worried about how it will work but don't worry it's realy easy.
90,2019-10-20,5,One of the best front load options in India,"Switched to this machine after using a top load for more than 10 years.This machine is super silent, looks classy and does what is supposed to do..very well!! The clothes are clean and there are not detergent remnants. The water in our house is a little hard, but thanks to the heater function, that isnt too much of a problem.The clothes do not get tangled as they do in the top load machines.The dryer RPM can be set manually from 400 rpm to 1200 rpm. 1200 is very good as the clothes are almost dry.The tub size size seems a tad smaller though.There are various preset functions that can be used for washing delicates, cottons, etc.The installation was done on time and the guy who came was very knowledgeable and provided a good demo and answered all our questions."
91,2018-11-28,5,Very good performance. Not noiseless.,"This machine needs 16 A power outlet. I needed to buy a tap adapter to connect the water inlet pipe to water tap. Installation took 2-3 days from that day of raising request. Installation and demo by Bosch service person was satisfactory. Installed one month ago.Product feels robust and easy to use. There are many washing modes such as Cottons (cold,40 deg C, 60 deg C), Dailywash, Kidswear, Wool and some more. The max capacity of 7 Kg is available under Cottons and Kidswear option.There are two separate options -1) Speed - to speed up wash, but at reduced load. For eg, the maximum load under speed mode for Cottons is 4 Kg. The time reduces from 2 hr to 1 hr.2) Water Plus - Extra water rinsing action. Adds around 10 min to the time.There are specific load limits to each washing mode, for eg, dailywash can hold max 3.5 kg.  It is more than enough for a daily wash for a family of four.This is a fine product so far."
92,2022-11-28,1,Worst Washing Machine and Never buy anything from this seller,"The media could not be loaded.
                



 I have purchased from this seller and from the day of installation my washing machine started making lot of noise during washing and heavy vibration during the spinning time. I immediately contacted the installed person from Bosch team, he visited next day and he also noticed all the issues and informed to the concerned team. But even after 4 days of complaint registering, no one has responded and didn't solved the problem. Worst experience with the Bosch washing machine and their services team."
93,2019-10-09,5,Amazing Product | Speedy Delivery,I got this Washing Machine during the great indian sale for 24700/- with further discounts and amazon pay cashback worth 3K.The machine was delivered on time with absolutely crisp packaging with zero dents/damage. The manufacturing date was also new i.e June 2019. The delivery person came on time and was very professional. He tried selling me the stand but it is not required if the area remains dry. Just charged Rs. 100/- for the connector/adapter. He also informed that there are no visiting charges for the first 2 years in warranty. I read people mentioning Rs. 800 for visiting even during the warranty period. This is not true.The machine works like a charm and the clothes come out really clean and dry. Its a great product and should be bought eyes closed. Very satisfied with the product - 5*.
94,2020-08-16,5,"Awesome Product, value for money..best product","It's a great Product, I have uses mostly Semi-Automatic machines only. This is my first Fully Automatic Machine and I feel purchased the right product. The delivery is on time as they said and the installation & demo are very fast. Quick response from the Service center and in an hour the Technician (Mahuboob Basha) from Indian Enterprises came to my home for installation. He explained in a very understandable way. Even the Manager (Mr.Chakradhar) gave a very quick response, Service delivery is very quick..like in an hour. I was to give more than 5 stars..."
95,2020-12-05,5,My mom is happy!!,"It is very hard to impress my mom but Bosch washing machine did it! It is easy to use and the noise level is low and obviously value for money. Bought it during the festival sale this year and it cost me 26490/-. The delivery was quick but the people who delivered it was lazy and not cooperative at all. But, after using it for a month, no regrets!P.S. Buy a 3/4 inch water outlet beforehand for the machine."
96,2021-08-29,4,Nice Product,कम पानी के प्रेशर मे अच्छा काम करता है .आवाज कम आती है .कपडे की धुलाई अच्छी होती है .
97,2019-10-04,4,Machine is good. delivered in short time but installed Messed-up,"Installation did not happen as per schedule. Made complaint at Amazon but that also did not work. Had to call BOSCH directly they sent their person but he could only install & connect but did not have knowledge of machine modes etc.Water inlet pipe length is very important. It should be made selectible at the time of ordering. Length supplied with machine is 1.5 meter. If more length required then you have to purchase and call installer again. Invariably, installer bring their own and charge hefty for that."
98,2022-05-19,5,Everything about this washing machine is good😍,"It's been four 5years and it's superb, Bosch is the best....no noise at all"
99,2020-10-24,4,Noisy while spinning. Otherwise ok.,Noisy when spinning.. amazon uses same feature template for all bosch washing machine. Goto bosch website n check to confirm the features. This machine donot have silent wash feature. It makes considerable noise while spinning. There are machines with much less noise so be careful to note tge features of each model.
100,2021-08-09,5,Great machine but worst installation people,Installation people were rude and not helpful. They kept saying the machine wouldn’t fit. We had to direct and show them how to move the box and how to pick up the machine. They did not even end up putting where it needed to go - we got a neighbor to help instead.Happy with the machine itself
101,2020-03-07,4,The washing machine is great.,The washing machine is great. But Amazon service is terrible. Amazon service was suppose to complete the installation . But after repeated call to the customer care they did not complete the installation. Finally I contacted the BOSCH  Service center and the installation was done in next day. We are using the washing machine for a month now and we don't have any problem.
102,2019-11-21,4,Installation not done properly,Am writing this review after using one month. I bought two bosch one on last year another this year. Really value for money. Water consumption is less. Installation is not good. Once installations done I had a problem of shaking while draining the water. I called bosch customer care they send a engineer. And he fix that issue and now working fine. And he told its all because of the not proper Installation.
103,2017-08-14,5,"Happy with it, Good service by Amazon- Great Deal Price","This is my first experience buying a Large Appliance online. It was great deal during the Amazon Flash Sale after Exchange of my Old Machine for Rs3500 and i paid RS24590 for this after exchange. The delivery happened at the provided slot without any delay. Installation and demo was done on the second day after delivery by the Bosch Technician -(Saravanan from chennai).He was very courteous and he explained it very clearly and explaining all doubts been raised by me. The default inlet tube provided is short of length so i made some alternate adjustment for a new tap without increasing the length of the Inlet Tube( to avoid the water Pressure issue particularly). I bought a Adaptor from the technician for fixing  in the tap for Rs250. He did have new cover(Rs800), descaler powder (Around 2400 for 4 packs which can be used for an year) But i thought to buy these later after two months as the duration of cleaning with descaler is every 3 months.Yes, tried with different washing options and mode and it is quite brilliant.1200 RPM it's spinning like a flight takeoff. Happy with it's washing as well."
104,2022-10-07,1,Will not recommend Bosch Washing Machine,"I've been using IFB fully automatic washing machine for the past 8 years, but I wanted to purchase another one and purchased Bosch this time in 2019 end, this bosch washing machine stopped working after 2.5 years. The worst part is the customer care service is pathetic, it took them almost 20 days to fix the part. Earlier they said that the motor was not working and then when they found out that the motor was under warranty, they said the fault was with the timer display panel. Visiting charges are 700 + GST which is so unreasonable. In all, they took 5k to get it rectified after buying a good 32k model. I would never recommend bosch to any of my friends or relatives."
105,2020-09-10,5,Amazing Bosch Quality,"This is an excellant machine, especially if i compare it to my outgoing IFB washing machine which was an absolute disaster in terms of quality.This has amazing build quality with very low vibration, very silent operation, easy to use controls. Everything feels like its built to last. And 7 kg is perfect or sometimes more for a family of 5.This is definitely a recommended choice for anyone wanting to buy a hassle free washing machine.Installation Service could have been quicker."
106,2021-12-12,4,Makes noise,Noise level is high
107,2020-08-26,5,Excellent product matched by Excellent SERVICE,"We already own a BOSCH dishwasher ... so had no doubts on the quality,  however  we were a bit  skeptical reading  some mixed reviews  on Amazon regarding service but still  took a chance and ordered this product . The service guy was prompt and installed the  machine in less than 72 hours . Machine is super Silent and gives a Top class Wash ..... TOP CLASS STUFF WITH TOP CLASS SERVICE  and a great price point !!"
108,2021-01-10,4,Nice product but installation person explanation is very poor,Bosch brand working as it was expected and also the way is sound is very good. Only disappointed at the time of installation person was only concentrated of selling accessories not to explain the in and out of prodouct.very poor installation service....
109,2020-11-02,4,Good machine,This washing machine is really very good. Less noise with no vibration at all. But one thing i didnt like is that bosch does not provide a water adapter alongwith this machine. We had to purchase this adapter from the engineer who charged 250 rupees.
110,2020-10-25,4,Not expected this from Bosch,Delivered fast and Installation done on next day . 2 issues I am facing one is fabric fragant liquid is not taking at all and the second one mix load wash timing automatically increases by 10 minutes after some time without pressing perfect button .
111,2020-12-26,4,Ok Ok,"Bosch make really quality products,it's working fine, only concern is at high speed of rotation (1200rpm) vibration which it makes,by seeing this my mom really afraid like does it will give long life?😅I said let's see what will happen.👍"
112,2017-10-14,4,"Excellent washing quality, very less noise, great procuct, delayed delivery, installation was average !!!!","Just installed the machine and I have seen great results on washing. Very minimal noise while spinning which is negligible always. Product was delayed from Amazon for 4 days. Installation guy gave some demo on all basic options only not in-depth. When I saw the user manual, I understood easily and more informative than the installation guy. He charged Rs.300 for tap adapter (a way of up selling by purposely designing a dust filter in such a way that never fits any kind of pipes and finally they can fit using their own adapter). Also, I purchased a authorized original Bosch cover for Rs.799 which is of good quality. Hoping to see more positive results for few more years !!!!! One star less for all the above negative points..."
113,2020-06-17,5,Go for it.,Don't get distracted by those bad reviews. This washing machine is value for money. The washing machine was delivered within 20 hrs of placing the order and the installation was done the very next day of the delivery. I don't understand why people keep on complaining that the installation is delayed. Maybe they should consider the fact that probably they themselves live in some remote area and should not expect everything expedited to their will.This machine is one of the best and does not deserve anything less than 5.
114,2020-10-22,5,Call Bosch for Installation,"No complaints about the machine. Installation was the problem. TVS-E was assigned to install and demo, but the date given was after 16 days of machine delivery !!!  So inquired with TVS team to expedite the installation date, but was refused due to date slot not available.Hene called Bosch service and directly booked for installation. Within 24 hrs Bosch technician came, installed and demoed in a professional manner.  Happy with Bosch service."
115,2020-06-27,3,Worst intake of water. Water intake is very poor.,"Waste of money. It does not take water in a proper way. In one and half bucket of water it washes 7kgs. Worst. There is no option to add more water. The clothes were stinking. They are not as perfect as we wash with hands. We use more water to clean the clothes perfectly. It doesn't matter how perfect the machine works, if it doesn't rinse properly in good amount of water then it's useless.  Clothes are not perfectly cleaned when it does not take more water. Also you don't have choice to rinse atleast 5-6 times. It does not take more water.  It does not rinse more number of times. It handly takes half bucket of water to rinse so many clothes, which just wets the clothes, forget about rinse."
116,2020-08-26,5,It is good and easy to use. Best one at this price.,"After seeing some negative comments I was in confusion whether to buy it in online or not, but then again after a lot of suggestions from my friends I have ordered it. Well, I am happy with the product. I am writing this review after using it for 1 month. And there are no complaints. Delivery was on time and even the installation too. Best one at this price and it is worth it. Don't think much. Go for it."
117,2022-08-04,1,Need replacement of Damage Bosch washing machine,"After Installation by Bosch technician on 8th July same day evening before use found damage in Detergent tray which replace on 14th July by Bosch service team. Due to summer vacation we start using this machine from 30th July. Same day Wife complained water in the floor from Washing machine  Technician surveys and informed 1st Aug evening , damage of a parts below the detergent tray. But there are not any external damage even scratches in the machine. As there are no response from Bosch again called them yesterday 3rd Aug and request them for replacement of damage washing machine. But the Concern Authorities Mr Rajdeep Gogoi refused to do so as we purchase from Amazon. But he assure me for repair service within warranty periods. Now my request to all Concern of Amazon and Bosch authorities  to replacement of this machine on urgent basis  enclosed  photographs of the machine with damage parts"
118,2020-11-13,5,Good,"Received Intact, no damage, excellent washing and a good product. Customer service team agreed for free installation. Call connect time is normally 7 to 8 minutes.  Installed within 24 hours on delivery,  believe me it is super fast. Although installation team too agreed but asked 150rs as unauthorised money without explanation. Please buy 3/4  to 1/2 coupling in advance. Kindly look into unauthorised charges as leaving brand image tarnished."
119,2022-06-04,5,फिल हाल ठीक है,घरेलू उपयोग में
120,2020-07-29,5,Value for money,"Recently purchased this front loading washing machine 7kg. Worth the buy! No second thought if your budget is within 30K segment.* Very less Noise* No jerky feel* Less water consumptionNo complaints on machine.Only negative is regarding installation, people from bosh didn't even come after 4-5 days of wait, received 1st call on 5th day asking if he can guide me through call. Better watch installation video from bosh youtube channel and install it."
121,2022-02-14,5,Bought it for 24000,"Good for now lets see how it goes as we all know german thing lasts forever, I hope this will stand up to its reputation"
122,2020-09-26,5,Excellent product!!!,"excellent product, worth buying. use correct detergent and quality of cleaning is better.noise level is very low and super easy to use functions.i bought it last year but had to return as the product delivered was damaged during transportation however bought it again this year and everything was fine. took a few days for installation and demo as bosch is running short of manpower due to covid but at the end no complaints."
123,2019-10-09,5,Perfect Washing Machine for 4 member family.,"Bosch washing machine delivered on time by Amazon. Followed by installation &demo by Amazon service engineer. Everything was quick as usual by Amazon.Product is little overpriced compared to other brands available in the market.Product is ideally suited for 4 member family.It uses less water compared to top load. Noise level is bare minimum. Washes perfectly for each selected mode.  Best part of the machine one can choose RPM for wash. Quiet easy to use for everyone in the family. Accessories like stand & cover bit expensive from Bosch. For better longevity of the machine , do periodic drum cleaning, clean the inner drum with soft cloth after every wash to remove stains and bad odour."
124,2020-09-11,5,Bosch Washing Machine,"The 7kg Front-Loading Washing of Bosch is a good value for the money. Silent and efficient both on low water consumption and energy.Due to COVID19 restriction, the installation took place after 16 days after it was delivered that to after a lot of follow-ups. the Call Center could be more responsive if they plan out the installation schedule and communicate the same to the customer instead of the customer having to escalate the request."
125,2020-01-15,4,"Value for Money and Many options , quality product","Great product , with good options to select , temperature settings available for cotton clothes 40/60 deg c, No pre wash available in this model, this options is available in next model with addl. Cost .Less noise and vibration, recommended to buy the stand sold separately by Bosch.Installation is done by skilled technician, didn't demand extra money."
126,2020-11-15,5,Worth buying!!,"The product is good. The quality of the cloths remains intact after washing. Spinning quality is also good. This particular model has a 15 min quick wash program which is very helpful and useful for daily laundries. Even though this is a front loading washing machine, it is still gets fit into small space. Overall as of now after 2 months of use we are satisfied with the product."
127,2021-08-17,5,It's a good buy,"I bought this 3 weeks back. Delivery was quick, I got it next day. Bosch installation was done withinn next 3 days. I had to fit steel tap and 16v power plug as it will not fit in normal power plug. Machine is working fine as of now."
128,2019-11-04,4,Good,Low noise. Good space inside.Excellent wash quality up to 70% load. Faster delivery than commited.But no installation. Someone called me and said I will be called again when they arrange a person for my location.After 9 days I called local technician and got it installed.I also find that a warranty card is missing. May be the bill could be enough.
129,2020-07-29,5,Excellent,"This is one of the best performing washing machines in the industry. I have experienced using LG, Samsung washing machines. But this Bosch washing machine is at a different level. The build quality is everlasting. Performance is phenomenal. Power and water consumption is half of any top loading washing machine and the wash quality is excellent. So, don't blindly compare the price and conclude that it is costly. It is definitely value for money in the long run."
130,2022-06-04,5,Very good,Like
131,2022-04-21,5,Better Washing Machine,I like this product. It is good and can be recommended.
132,2018-03-03,4,The product is very good..,"The product is very good... have been using for past 4 - 5 months. But guys be prepared for spending for all the additional stuffs need for Installation, compared to other washing machines all the additional installation stuffs are expensive eg, the outlet pipe, drum cleaning powder etc all are more expensive than other washing machines. Also please do not go by actual spec give the machine work in normal water pressure as well, you might not need an additional booster pump, which again costed me about 6K and as of now no use, because the machine works fine in normal water pressure. This is just from my experience, may vary for other."
133,2020-12-14,5,"Best WM, Easy to use , Low noise level , value for money 💸","Washing machine is very good , 100 percentage value for money . I brought this washing machine in Diwali sell . For 27990/-. Easy to use. I searched a lot but this washing machine is best . Not low , this washing have no Maintaince . Extremely easy to use. This washing machine comes with so many modes. As per our need we can use the modes. Noise level is low as possible . Bosch is very good company."
134,2020-02-21,4,Superb wash quality.,This is my first washing machine and I wasn't sure about my decision. But Bosch washing machine has proven that German brands are trust-able. Washing machine works silently and wash quality is good. Also I observe that it uses less water but still wash quality is awesome. You can go for this washing machine.
135,2020-08-09,5,Low noise machine from Bosch,"We brought this machine in Oct 2018, after using for 2 years, I am writing a review, the machine is working absolutely fine with low noise, you need to go near the machine to check whether it is ON or not , before we were using IFB señorita plus which used to make lot of noise like generator and used to move 1 to 2 feet from its original place, I highly recommend this product"
136,2021-02-06,4,Bosch,Everything is ok but the customer service is not up to the mark and the people who came for demo are not doing the installation process completely... service from Bosch is very disappointing..
137,2021-09-04,5,Review after 4 year of use.....,I hv order in Sept 2017 now given review after 4 year of use.. I have ordered 2 machine 6 & 7 kg both.Honestly Bosch Nice work done...Very Useful for daily Laundry.Less time & electricity consuming.. Affordable to use for everyone...
138,2022-02-18,5,This BOSCH product offers best washing quality I have seen in a front load washing machine. 5 star,"Best washing quality, low power, water and detergent consumption. Almost noise free operation. Study build quality and no vibration in body."
139,2018-07-01,5,It's an awesome machine!!,"Writing this review after usages of 3-4 weeks, 2-3 wash Cycles. I was little skepticle of purchasing a Bosch washing machine from the customer service and installation point of views. Though I was sure of quality of machine.But I got this machine installed in two days of delivery as promised. Technician installed is as per our requirements. I had to purchase a connector for my normal tap which cost me 350/- bucks.Coming to wash quality, it's just awesome!!! I couldn't expect any better than this.Noise level is almost nil, you can peacefully sleep when your machine does a laundry .. some sound in rinse cycle which is anticipated as machine runs on full RPM for rinsing.At this stage fully satisfied with this purchase. Thanks to Amazon for nice delivery as well on schedule.."
140,2019-10-06,5,"Product perfect , amazon installation service pathetic","I would like to give 5 rating to product and negative rating to amazon installation service due to below reasons:1.Installation executive comes with zero knowledge of washing machine2.He didn't remove the locks nor he set the machine at same levelNow when i started machine, it started vibrating and running on the floor.I immediately switched it off and called Bosch and as expected Customer care guy immediately set up a service request .Bosch executive identified the problem saying that the installation has not been done properly and installed the machine by removing locks from the machine again.Now its running fine and i have 5star just because of the product."
141,2022-02-06,5,Very Good & Satisfied,"I liked it after using 15days, thanks a ton for this good product Bosch. Soundless and great satisfaction to me and my family👍"
142,2021-05-26,3,Makes huge sound and not that good has LG washing machine,It's makes huge sound and i have been like 8months nearly if you open the door and want to add extra laundry we are getting shock if we don't switch of the main power overall not satisfactory we used LG washing machine since 15years its very good comparitively and service engineer also does no much information of the product during the installation and visit time.
143,2020-12-18,5,Really good,"I am using this product for the past 2 months. I am a happy customer so far. All dresses are getting washed properly and even the tough stains are getting removed. Noise levels are low. Also, the packaging was good and delivered on time. Within a day Bosch arranged the demo and installation. So definitely worth buying and I strongly recommend it"
144,2020-03-06,5,Super Purchase... Satisfied!,"Purchased in November 2019. Using daily for regular laundry.Very Useful Machine having very Low noise.. My 1 Year son's sleep never got Disturbed.. All kinds of Rugs, Blankets and chaddars could be washed Easily and Very much cleaned. We used Henko matic detergent powder for washing which is too good than other renowned and expensive branded powder. This machine having child lock feature, time schedule feature of 24 hours, functions in low water pressure as well as with less water consumption, using very less power for light loads or with normal temperature."
145,2016-09-07,4,German quality Indian Made!! A truely winning combination indeed ☺☺,"I bought thus machine one month ago, and using this daily. It is really a great machine, the motor is super silent and zero vibration while washing and rinsing.The machine was delivered right on time and contrary to other posts here, the customer support was lightning fast. The person came on time, provided suggestions where to put it properly and provided a complete demo. He was polite and courteous. Provided maintenance tous and how to take care of the machine.The machine has some very often used programs and cleans cloth properly. We just need to do proper maintenance and it will keep chugging along.A solid machine with performance at great price !!"
146,2022-02-23,5,Bosch machine is value for money product.,Product is very good.noise level is low. Bosch service only in big city. Small city have no service
147,2015-09-20,5,Bosch 7Kg fully automatic W/M,"Hello,I bought Bosch fully automatic W/M last weekend. Initially I was apprehensive purchasing high value & Bulky item like W/M on Amazon considering the probable damage during delivery, installation, demo and issues related to warranty. But amazon, Bosch and Viveks (from where product was physically shipped) team really pleasantly surprised me with their prompt delivery and after delivery services by Bosch & Viveks.Product was delivered within 15 hrs of order placement! Within next two days product was commissioned.The W/M performance is excellent considering very less water consumption compared to my earlier one, very low noise, cleanliness of the clothes without any damage, etc.Further all manufacturer's warranty is covered for motor and body and one need not have to worry about it. I am stressing this as one of the retailers was telling me that manufacturer's warranty is not covered if W/M is bought online.Over all I am very happy with the product and strongly recommend to buy it through amazon."
148,2017-12-13,5,Happy with my decision...,"I have bought the Bosch WAK24168IN, 7Kg model last week. The installation and demo from the Bosch technical team was very prompt and professional. The technician came on time and the interaction was very professional. He unpacked the machine carefully and explained all details. The demo was very detailed and also explained how to maintain it by proper cleaning of compartments, filters etc.I liked the machine for the simple user interface and optimal options it has got. It is performing good. It cleans the cloths really well, compared to my previous machine which was IFB Senorita.I loved the compact design with anti-vibration. I can say there is not noise at all.The features i liked are no anti-vibration, reload option, delayed start, active water  and 15 mins quick wash.The included filter is a normal filter not a water softener."
149,2019-08-17,4,Excellent wash but dryer could've been better!!!,"This Bosch WAK24168IN fully automatic washing m/c is very functional. Easy to use, nearly noiseless and cleans very well.  However, the dryer could've been better. There is some uneven drying after wash and the drying temperature could've been higher to deliver near complete dry laundry.  There should have been a separate ""dry only"" functionality.For this price, that's what customers would want."
150,2019-01-19,5,Simply Excellent Bosch,"Thanks to Amazon for the trust and quality, bought it and was delivered on time without any issues or damages. But only thing I didnt like was the executive who came for installation, charged me 400 for 3mtr pipe whereas it was around 180-200 in the market. Please be careful with those executives, they are the best salespersons.Coming to the washing machine, already tried washing to the full extent, but simply amazing wash quality. Fair bit of difference btwn top and front load. On the down side, the machine is very heavy and cannot be moved by a single person. Advise you to take a trolley stand once Product is ordered. No issues as far as Washing Machine is concerned 5 Star rating."
151,2019-09-29,4,Delivery is poor,product is good. delivery boys were hesitant to pick the product to work area. since it is front load weight is humoungous. and my old mother was alone in the house. after arguing they droped it my work area. installation takes 2 days after delivery. But product is good. dont look for 2k extra just buy household things from flipkart.
152,2018-12-01,4,Perfect wash and low vibrations.,"Here are some points, I liked about this washing machine.1. Bosch service is excellent. They came for installation on the same day of delivery.2. Very low noise during running.3. It will clean collar stains. Wash is good( we used normal detergent not specific for front load)4. Can load in between the cycle.5. Aesthetics is good.Overall a good buy for Rs. 23999/- (Also got Rs. 1000/- cash back on Amazon Pay)."
153,2020-01-27,5,Amazon installation is waste,"The Washing machine is good. But for installation, i would recommend you to wait for the company person to do it. If you request installation from Amazon, they do not do it properly. My washing machine was installed my Amazon service and it started to give problems (the machine vibrated a lot and was moving when ON due to vibration) later we camplained to Bosch and they said installation was not done correctly. After Bosch got it set, there is no problem till now (for more than a year)."
